시설 코드,시설 명,업종,주변 시설1,위도,경도
1,블랭크스 서프보드디자인,해양레저,설악비치하우스 민박,38.25913427,128.5538678
1,비치얼스 서프,해양레저,성심펜션,38.02194988,128.7223251
1,비케이서프,해양레저,자작도사철민박,38.3100484,128.5372246
1,빅다이브 리조트,해양레저,디디무인카페 삼척임원점,37.23006675,129.3413244
1,빅스타호,해양레저,삼원횟집,37.230118,129.3405658
1,빅아일랜드 서프,해양레저,연독채펜션,38.1286769,128.6222442
1,빅웨이브,해양레저,한마음 펜션,38.0218374,128.7190081
1,빠뽕호,해양레저,바담물회,37.83780866,128.875969
1,밍글서프,해양레저,금강산도 식후경,38.3562152,128.5057759
1,삼척바다배낚시체험,해양레저,여정식당,37.230135,129.3404358
1,삼척시립박물관,일반,카페용화,37.2894628,129.3007968
1,삼척해상케이블카(장호역),일반,왕고래,37.2300849,129.3412084
